"No";"Tanggal";"No_account";"Deskripsi acc";"No_bukti";"Uraian";"Debet";"Kredit";"Kontra_acc";"Deskripsi kontra"
"1";"2019-01-02";"112.28.111";"bdi a/n. ykki";"001/02844/BDIUM-01/19";"Perjalanan Dinas->pendampingan siswa kelas XII t.p. 2018-2019 (Winter Camp ke China) 5-20 Jan 2019 : 16 hari @100.000";"0.00";"1600000.00";"851.18.111";"Perjln dinas sma"
"2";"2019-01-02";"112.35.111";"bank bca r/k.77";"001/00068/BCAUM-01/19";"Sewa lapangan Basket Mekar tgl 02, 09, 16, 23 & 30 Jan 19 PK. 20.00 s/d 22.00";"1250000.00";"0.00";"551.11.111";"Hadiah/vouch./persembhn natal"
"3";"2019-01-02";"112.35.111";"bank bca r/k.77";"002/00120/BCAUM-01/19";"Uang Muka ke-2 Retreat Kepsek & Kabid SKKKB, 7-8 Jan 2019, Rumah Doa Triniti, Lembang";"0.00";"6000000.00";"117.11.111";"uang muka lain2"
"4";"2019-01-02";"112.35.111";"bank bca r/k.77";"006/00072/BCAUM-01/19";"Sewa lapangan Basket Mekar tgl 07, 14, 21 & 28 Jan 19 PK. 20.00 s/d 22.00";"1000000.00";"0.00";"551.11.111";"Hadiah/vouch./persembhn natal"
"5";"2019-01-03";"112.35.111";"bank bca r/k.77";"003/00069/BCAUM-01/19";"TERIMA KE-1 SEWA LAPANGAN BASKET MEKAR A/N KHARISMA SETIA TGL 03, 10, 17, 24 & 31 JAN 19";"1000000.00";"0.00";"551.11.111";"Hadiah/vouch./persembhn natal"
"6";"2019-01-04";"112.35.111";"bank bca r/k.77";"004/00070/BCAUM-01/19";"TERIMA KE-2 SEWA LAPANGAN BASKET MEKAR A/N KHARISMA SETIA TGL 03, 10, 17, 24 & 31 JAN 19";"250000.00";"0.00";"551.11.111";"Hadiah/vouch./persembhn natal"
"7";"2019-01-07";"112.28.111";"bdi a/n. ykki";"002/00574/BDIUM-01/19";"Setoran uang listrik pedagang warung depan SD CTL bln Jan 19";"240000.00";"0.00";"871.14.111";"Biaya listrik sd ciateul"
"8";"2019-01-07";"112.28.111";"bdi a/n. ykki";"003A/02845/BDIUM-01/19";"Hadiah Natal 2018 ";"0.00";"8000000.00";"620.11.111";"Gaji pegawai gabungan"
"9";"2019-01-07";"112.28.111";"bdi a/n. ykki";"003A/02845/BDIUM-01/19";"Fee fund transfer";"0.00";"3000.00";"541.11.111";"Bunga bank"
"10";"2019-01-07";"112.35.111";"bank bca r/k.77";"005/00071/BCAUM-01/19";"Sewa lapangan Basket Mekar tgl 06 Jan 19 PK. 14.00 s/d 15.00";"150000.00";"0.00";"551.11.111";"Hadiah/vouch./persembhn natal"
